topic_id,top_words,top_weights
1,"menggunakan, sistem, metode, informasi, information, berbasis, analisis, aplikasi, user, studi","0.0145, 0.0122, 0.0117, 0.0091, 0.0089, 0.0080, 0.0075, 0.0071, 0.0070, 0.0061"
2,"optimization, algorithm, network, neural, power, control, metaheuristic, motor, forward, load","0.0223, 0.0219, 0.0108, 0.0101, 0.0088, 0.0088, 0.0084, 0.0075, 0.0063, 0.0050"
3,"pembelajaran, berbasis, pengembangan, belajar, mata, sistem, menggunakan, listrik, pelajaran, siswa","0.0186, 0.0166, 0.0122, 0.0115, 0.0114, 0.0108, 0.0099, 0.0097, 0.0097, 0.0094"
4,"berbasis, menggunakan, aplikasi, sistem, metode, pengembangan, studi, rancang, bangun, analisis","0.0210, 0.0196, 0.0138, 0.0126, 0.0123, 0.0091, 0.0078, 0.0074, 0.0072, 0.0072"
5,"skills, students, student, thinking, programming, education, pembelajaran, assessment, digital, self","0.0128, 0.0116, 0.0078, 0.0076, 0.0063, 0.0062, 0.0061, 0.0058, 0.0051, 0.0048"
6,"berbasis, sistem, pembelajaran, menggunakan, motor, mata, pengembangan, engineering, negeri, electrical","0.0195, 0.0174, 0.0153, 0.0106, 0.0099, 0.0093, 0.0092, 0.0085, 0.0083, 0.0081"
7,"classification, students, accuracy, menggunakan, machine, student, berbasis, detection, feature, algorithm","0.0103, 0.0099, 0.0080, 0.0076, 0.0070, 0.0067, 0.0058, 0.0058, 0.0053, 0.0049"
8,"control, value, process, antenna, vivaldi, design, accuracy, level, image, prediction","0.0058, 0.0052, 0.0049, 0.0049, 0.0046, 0.0042, 0.0040, 0.0039, 0.0039, 0.0037"
9,"network, sensor, ieee, monitoring, energy, detection, wireless, time, accuracy, networks","0.0100, 0.0091, 0.0075, 0.0070, 0.0069, 0.0065, 0.0064, 0.0055, 0.0054, 0.0050"
10,"students, pengembangan, kelas, siswa, pembelajaran, meningkatkan, mata, pelajaran, education, materi","0.0156, 0.0149, 0.0132, 0.0131, 0.0130, 0.0112, 0.0108, 0.0106, 0.0100, 0.0097"
11,"digital, work, technology, financial, software, management, marketing, risk, education, business","0.0109, 0.0096, 0.0083, 0.0079, 0.0076, 0.0075, 0.0069, 0.0053, 0.0051, 0.0050"
12,"students, skills, thinking, science, teachers, critical, digital, student, education, literacy","0.0258, 0.0186, 0.0119, 0.0094, 0.0092, 0.0090, 0.0082, 0.0081, 0.0075, 0.0073"
